Speaker,Phr_tagged,Phr,Int,Double,Adj,Lex_Adj,Adj_type,Noun,Verb,Inf_Verb,Number,Syllable,Age,Gender,Transcript_date,Birth_year,Edu,Generation,Job
CART19,esta_DET_este ciudad_NOUN_ciudad es_AUX_ser muy_ADV_mucho pequeña_ADJ_pequeño _PUNCT_,esta ciudad es muy pequeña ,muy,/,pequeña,pequeño,predicative,/,es,ser,CART19_01,3,34,hombre,2010,1976,medio,2,Topógrafo
CART19,esta_DET_este ciudad_NOUN_ciudad es_AUX_ser muy_ADV_mucho pequeña_ADJ_pequeño para_ADP_para _PUNCT_,esta ciudad es muy pequeña para ,muy,/,pequeña,pequeño,predicative,/,es,ser,CART19_02,3,34,hombre,2010,1976,medio,2,Topógrafo
CART19,imagínate_VERB_imagínate por_ADP_por ese_DET_ese lado_NOUN_lado eso_PRON_ese es_AUX_ser lo_PRON_él único_ADJ_único que_PRON_que creo_VERB_creer yo_PRON_yo _PUNCT_,imagínate por ese lado eso es lo único que creo yo ,/,/,único,único,predicative,/,es,ser,CART19_03,3,34,hombre,2010,1976,medio,2,Topógrafo
CART19,la_DET_el cuestión_NOUN_cuestión de_ADP_de eso_PRON_ese esta_DET_este ciudad_NOUN_ciudad es_AUX_ser muy_ADV_mucho pequeña_ADJ_pequeño para_ADP_para para_ADP_para tener_VERB_tener un_DET_uno _PUNCT_,la cuestión de eso esta ciudad es muy pequeña para para tener un ,muy,/,pequeña,pequeño,predicative,/,es,ser,CART19_04,3,34,hombre,2010,1976,medio,2,Topógrafo
CART19,Mi_DET_mi casa_PROPN_casa está_AUX_estar ubicada_ADJ_ubicado en_ADP_en la_DET_el avenida_NOUN_avenida Crisanto_PROPN_Crisanto Luque_PROPN_Luque _PUNCT_,Mi casa está ubicada en la avenida Crisanto Luque ,/,/,ubicada,ubicado,predicative,/,está,estar,CART19_05,4,34,hombre,2010,1976,medio,2,Topógrafo
CART19,Bueno_ADJ_bueno el_DET_el ambiente_NOUN_ambiente por_ADP_por aquí_ADV_aquí es_AUX_ser un_DET_uno ambiente_NOUN_ambiente bueno_ADJ_bueno _PUNCT_,Bueno el ambiente por aquí es un ambiente bueno ,/,/,Bueno,bueno,ambiguous,/,es,ser,CART19_06,2,34,hombre,2010,1976,medio,2,Topógrafo
CART19,Bueno_ADJ_bueno el_DET_el ambiente_NOUN_ambiente por_ADP_por aquí_ADV_aquí es_AUX_ser un_DET_uno ambiente_NOUN_ambiente bueno_ADJ_bueno _PUNCT_,Bueno el ambiente por aquí es un ambiente bueno ,/,/,bueno,bueno,ambiguous,/,es,ser,CART19_07,2,34,hombre,2010,1976,medio,2,Topógrafo
CART19,ósea_ADJ_óseo un_DET_uno ambiente_NOUN_ambiente sano_ADJ_sano para_ADP_para comparado_ADJ_comparado con_ADP_con otras_DET_otro partes_NOUN_parte _PUNCT_,ósea un ambiente sano para comparado con otras partes ,/,/,ósea,óseo,ambiguous,/,/,/,CART19_08,2,34,hombre,2010,1976,medio,2,Topógrafo
CART19,ósea_ADJ_óseo un_DET_uno ambiente_NOUN_ambiente sano_ADJ_sano para_ADP_para comparado_ADJ_comparado con_ADP_con otras_DET_otro partes_NOUN_parte _PUNCT_,ósea un ambiente sano para comparado con otras partes ,/,/,sano,sano,ambiguous,/,/,/,CART19_09,2,34,hombre,2010,1976,medio,2,Topógrafo
CART19,ósea_ADJ_óseo un_DET_uno ambiente_NOUN_ambiente sano_ADJ_sano para_ADP_para comparado_ADJ_comparado con_ADP_con otras_DET_otro partes_NOUN_parte _PUNCT_,ósea un ambiente sano para comparado con otras partes ,/,/,comparado,comparado,ambiguous,/,/,/,CART19_10,4,34,hombre,2010,1976,medio,2,Topógrafo
CART19,un_DET_uno ambiente_NOUN_ambiente sano_ADJ_sano _PUNCT_,un ambiente sano ,/,/,sano,sano,ambiguous,/,/,/,CART19_11,2,34,hombre,2010,1976,medio,2,Topógrafo
CART19,aquí_ADV_aquí lo_PRON_él único_ADJ_único es_AUX_ser el_DET_el ruido_NOUN_ruido de_ADP_de los_DET_el carro_NOUN_carro ._PUNCT_.,aquí lo único es el ruido de los carro .,/,/,único,único,ambiguous,/,es,ser,CART19_12,3,34,hombre,2010,1976,medio,2,Topógrafo
CART19,Eso_PRON_ese es_AUX_ser lo_PRON_él único_ADJ_único por_ADP_por la_DET_el cuestión_NOUN_cuestión de_ADP_de que_SCONJ_que por_ADP_por aquí_ADV_aquí como_SCONJ_como pasa_VERB_pasar e1_PROPN_e1 _PUNCT_,Eso es lo único por la cuestión de que por aquí como pasa e1 ,/,/,único,único,predicative,/,es,ser,CART19_13,3,34,hombre,2010,1976,medio,2,Topógrafo
CART19,el_DET_el corredor_NOUN_corredor de_ADP_de acceso_NOUN_acceso rápido_ADJ_rápido las_DET_el mulas_NOUN_mula y_CCONJ_y esas_DET_ese cosas_NOUN_cosa pero_CCONJ_pero _PUNCT_,el corredor de acceso rápido las mulas y esas cosas pero ,/,/,rápido,rápido,attributive,acceso,/,/,CART19_14,3,34,hombre,2010,1976,medio,2,Topógrafo
CART19,por_ADP_por lo_PRON_él demás_PRON_demá es_AUX_ser bueno_ADJ_bueno pues_SCONJ_pues no_ADV_no se_PRON_él escucha_VERB_escuchar esas_DET_ese bullas_NOUN_bulla de_ADP_de picó_VERB_pico y_CCONJ_y esas_DET_ese cuestión_NOUN_cuestión ._PUNCT_.,por lo demás es bueno pues no se escucha esas bullas de picó y esas cuestión .,/,/,bueno,bueno,predicative,/,es,ser,CART19_15,2,34,hombre,2010,1976,medio,2,Topógrafo
CART19,mi_DET_mi infancia_NOUN_infancia sí_INTJ_sí fue_AUX_ser buena_ADJ_buen uf_PROPN_uf _PUNCT_,mi infancia sí fue buena uf ,/,/,buena,bueno,predicative,/,fue,ser,CART19_16,2,34,hombre,2010,1976,medio,2,Topógrafo
CART19,mi_DET_mi papá_NOUN_papá era_AUX_ser muy_ADV_mucho cariñoso_ADJ_cariñoso _PUNCT_,mi papá era muy cariñoso ,muy,/,cariñoso,cariñoso,predicative,/,era,ser,CART19_17,4,34,hombre,2010,1976,medio,2,Topógrafo
CART19,me_PRON_yo daba_VERB_dar lo_PRON_él que_PRON_que yo_PRON_yo quería_VERB_querer era_AUX_ser complaciente_ADJ_complaciente _PUNCT_,me daba lo que yo quería era complaciente ,/,/,complaciente,complaciente,predicative,/,era,ser,CART19_18,4,34,hombre,2010,1976,medio,2,Topógrafo
CART19,hasta_ADP_hasta la_DET_el juvenil_ADJ_juvenil _PUNCT_,hasta la juvenil ,/,/,juvenil,juvenil,ambiguous,/,/,/,CART19_19,3,34,hombre,2010,1976,medio,2,Topógrafo
CART19,mi_DET_mi papá_NOUN_papá era_AUX_ser muy_ADV_mucho complaciente_ADJ_complaciente conmigo_PRON_yo _PUNCT_,mi papá era muy complaciente conmigo ,muy,/,complaciente,complaciente,predicative,/,era,ser,CART19_20,4,34,hombre,2010,1976,medio,2,Topógrafo
CART19,lo_PRON_él mismo_ADJ_mismo que_SCONJ_que mi_DET_mi mamá_NOUN_mamá actualmente_ADV_actualmente ._PUNCT_.,lo mismo que mi mamá actualmente .,/,/,mismo,mismo,ambiguous,/,/,/,CART19_21,2,34,hombre,2010,1976,medio,2,Topógrafo
CART19,al_ADP_al fusilado_ADJ_fusilado _PUNCT_,al fusilado ,/,/,fusilado,fusilado,ambiguous,/,/,/,CART19_22,4,34,hombre,2010,1976,medio,2,Topógrafo
CART19,a_ADP_a mí_PRON_yo lo_PRON_él único_ADJ_único que_PRON_que me_PRON_yo falto_VERB_faltar ese_DET_ese día_NOUN_día fue_AUX_ser batear_VERB_batear jonrón_NOUN_jonrón nada_NOUN_nada más_ADV_más _PUNCT_,a mí lo único que me falto ese día fue batear jonrón nada más ,/,/,único,único,ambiguous,/,falto,faltar,CART19_23,3,34,hombre,2010,1976,medio,2,Topógrafo
CART19,lo_PRON_él único_ADJ_único que_PRON_que me_PRON_yo faltó_VERB_faltar fue_AUX_ser batear_VERB_batear jonrón_NOUN_jonrón ._PUNCT_.,lo único que me faltó fue batear jonrón .,/,/,único,único,ambiguous,/,faltó,faltar,CART19_24,3,34,hombre,2010,1976,medio,2,Topógrafo
CART19,y_CCONJ_y el_DET_el otro_PRON_otro acá_ADV_acá por_ADP_por el_DET_el alto_ADJ_alto bosque_NOUN_bosque ._PUNCT_.,y el otro acá por el alto bosque .,/,/,alto,alto,attributive,bosque,/,/,CART19_25,2,34,hombre,2010,1976,medio,2,Topógrafo
CART19,le_PRON_él hacían_VERB_hacer varias_DET_varios señas_NOUN_seña pero_CCONJ_pero la_DET_el última_ADJ_último es_AUX_ser la_DET_el que_PRON_que vale_VERB_valer ._PUNCT_.,le hacían varias señas pero la última es la que vale .,/,/,última,último,ambiguous,/,es,ser,CART19_26,3,34,hombre,2010,1976,medio,2,Topógrafo
CART19,actualmente_ADV_actualmente bueno_ADJ_bueno yo_PRON_yo vivo_VERB_vivir con_ADP_con mi_DET_mi mamá_NOUN_mamá _PUNCT_,actualmente bueno yo vivo con mi mamá ,/,/,bueno,bueno,ambiguous,/,vivo,vivir,CART19_27,2,34,hombre,2010,1976,medio,2,Topógrafo
CART19,Mi_DET_mi hijo_NOUN_hijo tiene_VERB_tener conmigo_PRON_yo una_DET_uno relación_NOUN_relación buena_ADJ_buen _PUNCT_,Mi hijo tiene conmigo una relación buena ,/,/,buena,bueno,ambiguous,/,tiene,tener,CART19_28,2,34,hombre,2010,1976,medio,2,Topógrafo
CART19,uno_PRON_uno tiene_VERB_tener bastante_DET_bastante confianza_NOUN_confianza y_CCONJ_y o_CCONJ_o sea_AUX_ser de_ADP_de esa_PRON_ese lo_PRON_él único_ADJ_único es_AUX_ser que_SCONJ_que uno_PRON_uno se_PRON_él trata_VERB_tratar bien_ADV_bien para_ADP_para que_SCONJ_que uno_PRON_uno _PUNCT_,uno tiene bastante confianza y o sea de esa lo único es que uno se trata bien para que uno ,/,/,único,único,predicative,/,es,ser,CART19_29,3,34,hombre,2010,1976,medio,2,Topógrafo
CART19,ni_CCONJ_ni con_ADP_con las_DET_el demás_DET_demás personas_NOUN_persona de_ADP_de aquí_ADV_aquí tampoco_ADV_tampoco porque_SCONJ_porque él_PRON_él no_ADV_no es_AUX_ser grosero_ADJ_grosero ._PUNCT_.,ni con las demás personas de aquí tampoco porque él no es grosero .,/,/,grosero,grosero,predicative,/,es,ser,CART19_30,3,34,hombre,2010,1976,medio,2,Topógrafo
CART19,Bueno_VERB_buenir aquí_ADV_aquí la_DET_el cuestión_NOUN_cuestión es_AUX_ser compartida_ADJ_compartido ._PUNCT_.,Bueno aquí la cuestión es compartida .,/,/,compartida,compartido,predicative,/,es,ser,CART19_31,4,34,hombre,2010,1976,medio,2,Topógrafo
CART19,y_CCONJ_y con_ADP_con él_PRON_él ahora_ADV_ahora mismo_ADJ_mismo es_AUX_ser que_SCONJ_que yo_PRON_yo hago_VERB_hacer _PUNCT_,y con él ahora mismo es que yo hago ,/,/,mismo,mismo,ambiguous,/,es,ser,CART19_32,2,34,hombre,2010,1976,medio,2,Topógrafo
CART19,mejor_ADJ_mejor uno_PRON_uno pasarla_VERB_pasar él en_ADP_en la_DET_el casa_NOUN_casa _PUNCT_,mejor uno pasarla él en la casa ,/,/,mejor,mejor,ambiguous,/,pasarla,pasar,CART19_33,2,34,hombre,2010,1976,medio,2,Topógrafo
CART19,que_SCONJ_que buscar_VERB_buscar mala_ADJ_malo hora_NOUN_hora en_ADP_en la_DET_el calle_NOUN_calle ._PUNCT_.,que buscar mala hora en la calle .,/,/,mala,malo,attributive,hora,buscar,buscar,CART19_34,2,34,hombre,2010,1976,medio,2,Topógrafo
CART19,Bueno_ADJ_bueno yo_PRON_yo creo_VERB_creer que_SCONJ_que _PUNCT_,Bueno yo creo que ,/,/,Bueno,bueno,ambiguous,/,creo,creer,CART19_35,2,34,hombre,2010,1976,medio,2,Topógrafo
CART19,bueno_ADJ_bueno en_ADP_en todas_DET_todo partes_NOUN_parte hay_AUX_haber esa_DET_ese posibilidad_NOUN_posibilidad _PUNCT_,bueno en todas partes hay esa posibilidad ,/,/,bueno,bueno,ambiguous,/,hay,haber,CART19_36,2,34,hombre,2010,1976,medio,2,Topógrafo
CART19,algún_DET_alguno establecimiento_NOUN_establecimiento público_ADJ_público _PUNCT_,algún establecimiento público ,/,/,público,público,attributive,establecimiento,/,/,CART19_37,3,34,hombre,2010,1976,medio,2,Topógrafo
CART19,y_CCONJ_y por_ADP_por el_DET_el solo_ADJ_solo hecho_NOUN_hecho de_ADP_de que_SCONJ_que tú_PRON_tú te_PRON_tú quedes_VERB_quedes viendo_VERB_ver a_ADP_a alguien_PRON_alguien _PUNCT_,y por el solo hecho de que tú te quedes viendo a alguien ,/,/,solo,solo,attributive,hecho,quedes,quedes,CART19_38,2,34,hombre,2010,1976,medio,2,Topógrafo
CART19,entonces_ADV_entonces uno_PRON_uno mejor_ADJ_mejor se_PRON_él queda_VERB_quedar en_ADP_en su_DET_su casa_NOUN_casa evitando_VERB_evitar esos_DET_ese problemas_NOUN_problema ._PUNCT_.,entonces uno mejor se queda en su casa evitando esos problemas .,/,/,mejor,mejor,predicative,/,queda,quedar,CART19_39,2,34,hombre,2010,1976,medio,2,Topógrafo
CART19,Bueno_ADJ_bueno yo_PRON_yo creo_VERB_creer que_SCONJ_que _PUNCT_,Bueno yo creo que ,/,/,Bueno,bueno,ambiguous,/,creo,creer,CART19_40,2,34,hombre,2010,1976,medio,2,Topógrafo
CART19,bueno_ADJ_bueno yo_PRON_yo no_ADV_no sé_VERB_saber _PUNCT_,bueno yo no sé ,/,/,bueno,bueno,ambiguous,/,sé,saber,CART19_41,2,34,hombre,2010,1976,medio,2,Topógrafo
CART19,eso_PRON_ese es_AUX_ser un_DET_uno mal_ADJ_mal ejemplo_NOUN_ejemplo para_ADP_para la_DET_el juventud_NOUN_juventud de_ADP_de ahora_ADV_ahora ._PUNCT_.,eso es un mal ejemplo para la juventud de ahora .,/,/,mal,malo,attributive,ejemplo,es,ser,CART19_42,1,34,hombre,2010,1976,medio,2,Topógrafo
CART19,la_DET_el escuela_NOUN_escuela ahora_ADV_ahora la_DET_el educación_NOUN_educación de_ADP_de la_DET_el escuela_NOUN_escuela ahora_ADV_ahora es_AUX_ser una_DET_uno educación_NOUN_educación mediocre_ADJ_mediocre _PUNCT_,la escuela ahora la educación de la escuela ahora es una educación mediocre ,/,/,mediocre,mediocre,attributive,educación,es,ser,CART19_43,3,34,hombre,2010,1976,medio,2,Topógrafo
CART19,y_CCONJ_y yo_PRON_yo me_PRON_yo doy_VERB_dar cuenta_NOUN_cuenta que_SCONJ_que ahora_ADV_ahora con_ADP_con un_DET_uno ejemplo_NOUN_ejemplo vivo_ADJ_vivo que_SCONJ_que yo_PRON_yo vi_VERB_ver allí_ADV_allí en_ADP_en _PUNCT_,y yo me doy cuenta que ahora con un ejemplo vivo que yo vi allí en ,/,/,vivo,vivo,attributive,ejemplo,vi,ver,CART19_44,2,34,hombre,2010,1976,medio,2,Topógrafo
CART19,un_DET_uno pelado_ADJ_pelado perder_VERB_perder doce_NUM_doce materias_NOUN_materia _PUNCT_,un pelado perder doce materias ,/,/,pelado,pelado,ambiguous,/,perder,perder,CART19_45,3,34,hombre,2010,1976,medio,2,Topógrafo
CART19,Cómo_PRON_cómo es_AUX_ser que_SCONJ_que ven_VERB_ver que_SCONJ_que un_DET_uno pelado_ADJ_pelado con_ADP_con doce_NUM_doce materias_NOUN_materia _PUNCT_,Cómo es que ven que un pelado con doce materias ,/,/,pelado,pelado,ambiguous,/,ven,ver,CART19_46,3,34,hombre,2010,1976,medio,2,Topógrafo
